id,query,golden_document_id,is_match,top_hit_elser_1_url,top_hit_elser_1_score,top_hit_elser_2_url,top_hit_elser_2_score,top_hit_elser_3_url,top_hit_elser_3_score,top_hit_elser_4_url,top_hit_elser_4_score,top_hit_elser_5_url,top_hit_elser_5_score
0,"if I'm a shareholder in a company, how should a liquidator notify me?",TD 92/101,True,TD 92/101,,TD 92/102,,TD 2001/27,,TD 2000/52,,TD 92/102,
1,how do I format a liquidation declaration?,TD 92/102,True,TD 92/102,,TD 92/102,,TD 92/102,,TD 2000/52,,TR 2002/15,
5,"I have a membership subscription to a political party, is this payment tax deductible?",TD 92/114,True,TD 92/114,,TR 1999/10,,TR 1999/10,,TR 2000/7,,TR 2000/7,
4,"I have a trust where an amount will be included in a beneficiary’s assessable income next year, do I also include that amount in the trust’s attributable income this year?",TD 92/112,True,TD 92/112,,TD 2017/24,,TR 2018/6,,TD 2016/19,,TD 92/112,
3,"I have a foreign controlled company that runs seasonally, do I have active income?",TD 92/109,True,TD 92/109,,TR 2007/13,,TR 2019/1,,TD 2017/25,,CR 2021/13,
9,"Should a profit share commission, payable by a reinsurer to a reinsured, be taken into account when calculating an unearned premium provision?",TD 92/122,True,TD 92/122,,TR 95/5,,TR 95/5,,TR 95/5,,TR 95/5,
6,"for the exemption in the old section 112B ITAA36, is it just for foreign income from an overseas branch of an Australian resident life assurance company?",TD 92/117,True,TD 92/117,,TD 92/121,,TD 92/121,,TD 93/8,,TR 92/7,
2,is there anything an election for a foreign controlled company must have?,TD 92/104,True,TD 92/104,,TD 2017/25,,TD 2017/25,,TD 2017/25,,TD 2007/20,
7,what happens if I don’t include an amount earned from premiums from an unclosed business in my tax return?,TD 92/119,True,TD 92/119,,TR 95/5,,TR 95/5,,TD 2004/77,,TD 2004/77,
10,information on GST and tax credits for a tax period,GSTR 2000/29,True,GSTR 2000/12,,GSTR 2003/11,,GSTR 2000/29,,GSTD 2004/4,,GSTR 2003/11,
8,will an Australian life assurance company operating overseas be exempt from Australian income tax if its foreign income is sent back to Australia in a year following the year it was earned?,TD 92/121,True,TD 92/121,,TD 92/117,,TD 93/8,,TR 92/7,,TD 92/187,
12,"I sold a property, what is the margin scheme and GST payable?",GSTR 2006/8,True,GSTR 2000/21,,GSTR 2006/7,,GSTR 2006/8,,GSTR 2000/21,,GSTR 2000/21,
13,"in Australia, under section 160WA, how should a liquidator notify the relevant shareholders?",TD 92/101,True,TD 92/101,,TD 92/102,,TD 92/102,,TD 92/102,,TD 92/102,
11,"I am transferring an enterprise asset to my former spouse, what are the GST implications?",GSTR 2003/6,True,GSTR 2003/6,,GSTA TPP 067,,GSTR 2003/6,,GSTR 2003/6,,GSTA TPP 073,
15,what must a controlled foreign company do to hold an election?,TD 92/104,True,TD 92/104,,TD 2017/25,,CR 2011/29,,TD 2017/25,,TD 2007/20,
21,if an Australian resident life assurance company’s foreign income is remitted to Australia in a year following its derived year exempt from Australian income tax?,TD 92/121,True,TD 92/121,,TD 92/117,,TR 92/7,,TD 92/121,,TD 92/187,
17,"under sub-subparagraph 102AAU(1)(c)(i)(A), when an amount will be included in a beneficiary's assessable income under section 97 at a later point in time, is that amount excluded from the trust’s attributable income?",TD 92/112,True,TD 92/112,,TD 92/112,,TD 92/112,,TD 2016/19,,CR 2014/36,
19,"does the exemption stated in the former section 112B ITAA36, only apply to foreign income derived by overseas branches of Australian resident life assurance companies?",TD 92/117,True,TD 92/117,,TD 92/121,,TD 92/121,,TD 93/8,,TR 92/7,
14,"under section 160WA, what format should a liquidator’s declaration be?",TD 92/102,True,TD 92/102,,TD 92/102,,TD 92/101,,TD 92/101,,TR 94/30,
16,does a controlled foreign company pass the active income test if it runs cyclically?,TD 92/109,True,TD 92/109,,TD 92/109,,TD 2019/8,,TD 2006/65,,TD 2019/8,
